player_id: 6828, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6829, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6830, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6831, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6832, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6833, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6834, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6835, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6836, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6837, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6838, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6839, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6840, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6841, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6842, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6843, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6844, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6845, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6846, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6847, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6848, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6849, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6850, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6851, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6852, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6853, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6854, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6855, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6856, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6857, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6858, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6859, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6860, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6861, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6862, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6863, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6864, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6865, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6866, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6867, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6868, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6869, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6870, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6871, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6872, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6873, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6874, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6875, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6876, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6877, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6878, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6879, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6880, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6881, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6882, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6883, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6884, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6885, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
